block,datatype,access,classification,context,description,sources
9229,UINT16,R/W,enthält W laut Doku,Hybrid (27),COP threshold above which heat pump is authorized to operate when hybrid mode is primary energy,GTW-08-Modbus-parameterlijst_gap_report.md
9232,UINT16,R/W,enthält W laut Doku,Hybrid (27),Hybrid Electricity cost in high tarif accurate,GTW-08-Modbus-parameterlijst_gap_report.md
9233,UINT16,R/W,enthält W laut Doku,Hybrid (27),Hybrid Electricity cost in low tarif accurate,GTW-08-Modbus-parameterlijst_gap_report.md
9234,UINT16,R/W,enthält W laut Doku,Hybrid (27),cost of fossil energy (oil or gas) - piece per litre or per m3 accurate,GTW-08-Modbus-parameterlijst_gap_report.md
21020,ENUM8,R/W,enthält W laut Doku,BMS (11),The heat demand mode which is used in case of a communication error,GTW-08-Modbus-parameterlijst_gap_report.md
21021,ENUM8,R/W,enthält W laut Doku,BMS (11),Fallback strategy to apply,GTW-08-Modbus-parameterlijst_gap_report.md
21022,UINT8,R/W,enthält W laut Doku,BMS (11),Number Of Minutes To Maintain Heat Demand in fallback mode,GTW-08-Modbus-parameterlijst_gap_report.md
21023,UINT8,R/W,enthält W laut Doku,BMS (11),fallback power setpoint,GTW-08-Modbus-parameterlijst_gap_report.md
21024,INT16,R/W,enthält W laut Doku,BMS (11),fallback temperature setpoint,GTW-08-Modbus-parameterlijst_gap_report.md
21025,ENUM8,R/W,enthält W laut Doku,BMS (11),fallback heat demand type,GTW-08-Modbus-parameterlijst_gap_report.md
21026,ENUM8,R/W,enthält W laut Doku,BMS (11),0 - 10V input selection (temperature or power setpoint),GTW-08-Modbus-parameterlijst_gap_report.md
21027,UINT8,R,nur R laut Doku,BMS (11),Measure of the Voltage on the 0-10V Input,GTW-08-Modbus-parameterlijst_gap_report.md
21028,ENUM8,R/W,enthält W laut Doku,BMS (11),Parameter to activate the 2nd return sensor,GTW-08-Modbus-parameterlijst_gap_report.md
21029,INT16,R,nur R laut Doku,BMS (11),Second return temperature,GTW-08-Modbus-parameterlijst_gap_report.md
21030,UINT16,R/W,enthält W laut Doku,BMS (11),Absolute max boiler power in KW. This is the power the device can produce when burner parameters are set at maximum.,GTW-08-Modbus-parameterlijst_gap_report.md
